Node,Name,BirthYear,Sex,Marriage,MarriageAge,MarriageYear,NumKids,HavingKidsAge,HavingKidsYear,FamilyIndicator
P001,John Smith,1950,Male,oppositeSexMarried,25,1975,3,28,1978,Family
P002,Mary Johnson,1952,Female,oppositeSexMarried,23,1975,3,26,1978,Family
P003,Michael Smith,1978,Male,oppositeSexMarried,26,2004,2,29,2007,Family
P004,Sarah Williams,1980,Female,oppositeSexMarried,24,2004,2,27,2007,Family
P005,David Smith,1981,Male,oppositeSexMarried,28,2009,1,31,2012,Family
P006,Lisa Brown,1983,Female,oppositeSexMarried,26,2009,1,29,2012,Family
P007,Emma Smith,2007,Female,Single,0,0,0,0,0,NoFamily
P008,James Smith,2009,Male,Single,0,0,0,0,0,NoFamily
P009,Olivia Smith,2012,Female,Single,0,0,0,0,0,NoFamily
P010,Robert Johnson,1975,Male,oppositeSexMarried,27,2002,2,30,2005,Family
P011,Jennifer Davis,1977,Female,oppositeSexMarried,25,2002,2,28,2005,Family
P012,Christopher Johnson,2005,Male,Single,0,0,0,0,0,NoFamily
P013,Sophia Johnson,2007,Female,Single,0,0,0,0,0,NoFamily
P014,William Wilson,1948,Male,oppositeSexMarried,26,1974,2,29,1977,Family
P015,Patricia Wilson,1950,Female,oppositeSexMarried,24,1974,2,27,1977,Family
P016,Thomas Wilson,1977,Male,oppositeSexMarried,25,2002,1,28,2005,Family
P017,Amanda Taylor,1979,Female,oppositeSexMarried,23,2002,1,26,2005,Family
P018,Daniel Wilson,2005,Male,Single,0,0,0,0,0,NoFamily
P019,Elizabeth Anderson,1945,Female,oppositeSexMarried,24,1969,3,27,1972,Family
P020,Richard Anderson,1943,Male,oppositeSexMarried,26,1969,3,29,1972,Family
P021,Steven Anderson,1972,Male,oppositeSexMarried,28,2000,2,31,2003,Family
P022,Michelle Clark,1974,Female,oppositeSexMarried,26,2000,2,29,2003,Family
P023,Andrew Anderson,1974,Male,oppositeSexMarried,29,2003,1,32,2006,Family
P024,Jessica Lewis,1976,Female,oppositeSexMarried,27,2003,1,30,2006,Family
P025,Matthew Anderson,2003,Male,Single,0,0,0,0,0,NoFamily
P026,Emily Anderson,2006,Female,Single,0,0,0,0,0,NoFamily
P027,Ashley Anderson,1975,Female,sameSexMarried,25,2000,0,0,0,NoFamily
P028,Emma Thompson,1973,Female,sameSexMarried,27,2000,0,0,0,NoFamily
P029,Benjamin Anderson,1973,Male,sameSexMarried,30,2003,1,33,2006,Family
P030,Alex Chen,1975,Male,sameSexMarried,28,2003,1,31,2006,Family
P031,Alexander Anderson,2006,Male,Single,0,0,0,0,0,NoFamily
P032,Victoria Rodriguez,1940,Female,oppositeSexMarried,22,1962,4,25,1965,Family
P033,George Rodriguez,1938,Male,oppositeSexMarried,24,1962,4,27,1965,Family
P034,Carlos Rodriguez,1965,Male,oppositeSexMarried,26,1991,2,29,1994,Family
P035,Isabella Rodriguez,1967,Female,oppositeSexMarried,24,1991,2,27,1994,Family
P036,Maria Rodriguez,1994,Female,Single,0,0,0,0,0,NoFamily
P037,Diego Rodriguez,1996,Male,Single,0,0,0,0,0,NoFamily
P038,Ana Rodriguez,1968,Female,oppositeSexMarried,25,1993,1,28,1996,Family
P039,Roberto Lopez,1966,Male,oppositeSexMarried,27,1993,1,30,1996,Family
P040,Carmen Rodriguez,1996,Female,Single,0,0,0,0,0,NoFamily
P041,Joseph Rodriguez,1970,Male,oppositeSexMarried,28,1998,0,0,0,NoFamily
P042,Christine White,1972,Female,oppositeSexMarried,26,1998,0,0,0,NoFamily
P043,Anthony Rodriguez,1972,Male,oppositeSexMarried,30,2002,2,33,2005,Family
P044,Rachel Green,1974,Female,oppositeSexMarried,28,2002,2,31,2005,Family
P045,Lucas Rodriguez,2005,Male,Single,0,0,0,0,0,NoFamily
P046,Sofia Rodriguez,2007,Female,Single,0,0,0,0,0,NoFamily
P047,Daniel Rodriguez,1975,Male,oppositeSexMarried,27,2002,1,30,2005,Family
P048,Lauren Hall,1977,Female,oppositeSexMarried,25,2002,1,28,2005,Family
P049,Adrian Rodriguez,2005,Male,Single,0,0,0,0,0,NoFamily
P050,Gabriela Rodriguez,1977,Female,oppositeSexMarried,26,2003,0,0,0,NoFamily
